bed_gs,talus_gs,lith,talus_dimensions,vert,horiz,slope_distance,incline,bf_w,bluff_h,coord_n,coord_w
8,60,L,,,30.62,,,31.881,73.93,35.96241009,-93.40286961
8,70,S,,,,,,,,,
11,70,L,,,,,,,,,
11,80,L,,,,,,,,,
11,90,L,,,,,,,,,
11,100,L,,,,,,,,,
11,110,L,,,,,,,,,
16,110,L,,,,,,,,,
16,120,L,,,,,,,,,
16,120,L,,,,,,,,,
16,130,L,,,,,,,,,
16,130,L,,,,,,,,,
16,130,L,,,,,,,,,
16,130,L,,,,,,,,,
16,130,L,,,,,,,,,
16,140,L,,,,,,,,,
16,150,L,,,,,,,,,
16,170,L,,,,,,,,,
16,180,L,,,,,,,,,
22.6,180,L,,,,,,,,,
22.6,190,L,,,,,,,,,
22.6,190,L,,,,,,,,,
22.6,200,L,,,,,,,,,
22.6,200,L,,,,,,,,,
22.6,210,L,,,,,,,,,
22.6,210,L,,,,,,,,,
22.6,220,L,,,,,,,,,
22.6,230,L,,,,,,,,,
22.6,230,L,,,,,,,,,
22.6,240,L,,,,,,,,,
22.6,240,L,,,,,,,,,
22.6,240,L,,,,,,,,,
22.6,240,L,,,,,,,,,
22.6,240,L,,,,,,,,,
22.6,240,L,,,,,,,,,
22.6,240,L,,,,,,,,,
22.6,250,L,,,,,,,,,
22.6,250,L,,,,,,,,,
22.6,250,L,,,,,,,,,
32,260,L,,,,,,,,,
32,260,L,,,,,,,,,
32,260,L,,,,,,,,,
32,270,L,,,,,,,,,
32,280,L,,,,,,,,,
32,290,L,,,,,,,,,
32,310,L,,,,,,,,,
32,310,L,,,,,,,,,
32,320,L,,,,,,,,,
32,330,L,,,,,,,,,
32,340,L,,,,,,,,,
32,380,L,,,,,,,,,
32,390,L,,,,,,,,,
32,420,L,,,,,,,,,
32,430,L,,,,,,,,,
32,440,L,,,,,,,,,
32,440,L,,,,,,,,,
32,450,L,,,,,,,,,
32,460,L,,,,,,,,,
32,470,L,,,,,,,,,
32,480,L,,,,,,,,,
32,530,L,,,,,,,,,
32,540,L,,,,,,,,,
32,550,L,,,,,,,,,
32,590,L,,,,,,,,,
32,610,L,,,,,,,,,
32,710,L,,,,,,,,,
32,710,L,,,,,,,,,
32,1350,L,,,,,,,,,
32,1470,L,,,,,,,,,
32,4400,L,,,,,,,,,
32,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
45,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
63,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
180,,,,,,,,,,,
