bed_gs,talus_gs,lith,talus_dimensions,vert,horiz,slope_distance,incline,bf_w,bluff_h,coord_n,coord_w
11,140,L,,7.13,65.11,13.45,,35.54,17.72,35.9704684,-93.39743635
16,200,L,,,,,,,,,
16,340,L,,,,,,,,,
16,90,L,,,,,,,,,
16,540,L,,,,,,,,,
22.6,120,L,,,,,,,,,
22.6,170,L,,,,,,,,,
22.6,570,L,,,,,,,,,
22.6,100,L,,,,,,,,,
22.6,100,L,,,,,,,,,
22.6,210,L,,,,,,,,,
32,120,L,,,,,,,,,
32,210,L,,,,,,,,,
32,140,L,,,,,,,,,
32,280,L,,,,,,,,,
32,210,L,,,,,,,,,
32,320,L,,,,,,,,,
32,90,L,,,,,,,,,
32,180,L,,,,,,,,,
32,70,L,,,,,,,,,
32,80,L,,,,,,,,,
32,60,L,,,,,,,,,
32,80,L,,,,,,,,,
32,370,L,,,,,,,,,
32,190,L,,,,,,,,,
32,80,L,,,,,,,,,
32,80,L,,,,,,,,,
32,150,L,,,,,,,,,
32,360,L,,,,,,,,,
45,90,L,,,,,,,,,
45,90,L,,,,,,,,,
45,150,L,,,,,,,,,
45,70,L,,,,,,,,,
45,90,L,,,,,,,,,
45,100,L,,,,,,,,,
45,430,L,,,,,,,,,
45,280,L,,,,,,,,,
45,70,L,,,,,,,,,
45,60,L,,,,,,,,,
45,110,L,,,,,,,,,
45,70,L,,,,,,,,,
45,60,L,,,,,,,,,
45,110,L,,,,,,,,,
45,70,L,,,,,,,,,
45,80,L,,,,,,,,,
45,130,L,,,,,,,,,
64,200,L,,,,,,,,,
64,80,L,,,,,,,,,
64,90,L,,,,,,,,,
64,80,L,,,,,,,,,
64,170,L,,,,,,,,,
64,90,L,,,,,,,,,
64,140,L,,,,,,,,,
64,100,L,,,,,,,,,
64,140,L,,,,,,,,,
64,460,L,,,,,,,,,
64,130,L,,,,,,,,,
64,120,L,,,,,,,,,
64,110,L,,,,,,,,,
64,160,L,,,,,,,,,
64,70,L,,,,,,,,,
64,280,L,,,,,,,,,
64,190,L,,,,,,,,,
64,260,L,,,,,,,,,
90,190,L,,,,,,,,,
90,310,L,,,,,,,,,
90,120,L,,,,,,,,,
90,140,L,,,,,,,,,
90,420,L,,,,,,,,,
90,180,L,,,,,,,,,
90,220,L,,,,,,,,,
90,230,L,,,,,,,,,
90,340,L,,,,,,,,,
90,90,L,,,,,,,,,
90,200,L,,,,,,,,,
90,200,L,,,,,,,,,
90,200,L,,,,,,,,,
90,290,L,,,,,,,,,
90,320,L,,,,,,,,,
128,630,L,,,,,,,,,
128,310,L,,,,,,,,,
128,110,L,,,,,,,,,
128,230,L,,,,,,,,,
128,230,L,,,,,,,,,
128,230,L,,,,,,,,,
128,390,L,,,,,,,,,
128,310,L,,,,,,,,,
128,310,L,,,,,,,,,
128,160,L,,,,,,,,,
128,230,L,,,,,,,,,
180,160,L,,,,,,,,,
180,230,L,,,,,,,,,
180,160,L,,,,,,,,,
180,90,L,,,,,,,,,
180,200,L,,,,,,,,,
180,190,L,,,,,,,,,
180,500,L,,,,,,,,,
180,240,L,,,,,,,,,
180,280,L,,,,,,,,,
180,360,L,,,,,,,,,
180,400,L,,,,,,,,,
180,260,L,,,,,,,,,
180,270,L,,,,,,,,,
180,160,L,,,,,,,,,
180,230,L,,,,,,,,,
256,590,L,,,,,,,,,
256,230,L,,,,,,,,,
256,80,L,,,,,,,,,
256,200,L,,,,,,,,,
256,220,L,,,,,,,,,
256,160,L,,,,,,,,,
256,100,L,,,,,,,,,
362,680,L,,,,,,,,,
362,160,L,,,,,,,,,
362,,,,,,,,,,,
362,,,,,,,,,,,
