bed_gs,talus_gs,lith,talus_dimensions,vert,horiz,slope_distance,incline,bf_w,bluff_h,coord_n,coord_w
16,320,L,,4.22,7.33,,,32.93,,35.98855979,-93.3947602
22.6,3140,L,,1.06,4.18,,,,,,
22.6,210,L,,3.4,6.52,,,,,,
22.6,240,L,,,,,,,,,
22.6,780,L,,,,,,,,,
32,1300,L,,,,,,,,,
32,190,L,,,,,,,,,
32,210,L,,,,,,,,,
32,210,L,,,,,,,,,
32,500,L,,,,,,,,,
32,460,L,,,,,,,,,
32,1840,L,,,,,,,,,
32,790,L,,,,,,,,,
45,890,L,,,,,,,,,
45,900,L,,,,,,,,,
45,890,L,,,,,,,,,
45,1140,L,,,,,,,,,
45,1350,L,,,,,,,,,
45,470,L,,,,,,,,,
45,430,L,,,,,,,,,
45,560,L,,,,,,,,,
45,540,L,,,,,,,,,
45,440,L,,,,,,,,,
45,520,L,,,,,,,,,
45,370,L,,,,,,,,,
45,1360,L,,,,,,,,,
45,100,L,,,,,,,,,
45,230,L,,,,,,,,,
45,470,L,,,,,,,,,
45,390,L,,,,,,,,,
45,910,L,,,,,,,,,
45,480,L,,,,,,,,,
45,120,L,,,,,,,,,
45,410,L,,,,,,,,,
45,190,L,,,,,,,,,
45,210,L,,,,,,,,,
45,130,L,,,,,,,,,
45,350,L,,,,,,,,,
45,440,L,,,,,,,,,
45,390,L,,,,,,,,,
45,550,L,,,,,,,,,
45,350,L,,,,,,,,,
64,250,L,,,,,,,,,
64,2500,L,,,,,,,,,
64,320,L,,,,,,,,,
64,1320,L,,,,,,,,,
64,310,L,,,,,,,,,
64,510,L,,,,,,,,,
64,210,L,,,,,,,,,
64,770,L,,,,,,,,,
64,370,L,,,,,,,,,
64,810,L,,,,,,,,,
64,110,L,,,,,,,,,
64,150,L,,,,,,,,,
64,750,L,,,,,,,,,
64,1570,L,,,,,,,,,
64,2100,L,,,,,,,,,
64,180,L,,,,,,,,,
64,250,L,,,,,,,,,
64,300,L,,,,,,,,,
64,520,L,,,,,,,,,
64,650,L,,,,,,,,,
64,660,L,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
64,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
90,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
128,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
180,,,,,,,,,,,
256,,,,,,,,,,,
256,,,,,,,,,,,
