bed_gs,talus_gs,lith,talus_dimensions,vert,depth,horiz,slope_distance,incline,bf_w,bluff_h,coord_n,coord_w
8,240,L,,1.75,5.58,24.48,,,26.62,12.55,35.95463,-93.402608
11,800,L,,,,,,,,,,
11,470,L,,,,,,,,,,
11,140,L,,,,,,,,,,
11,850,L,,,,,,,,,,
16,300,L,,,,,,,,,,
16,190,L,,,,,,,,,,
16,520,L,,,,,,,,,,
16,170,L,,,,,,,,,,
16,490,L,,,,,,,,,,
16,270,L,,,,,,,,,,
16,310,L,,,,,,,,,,
16,240,L,,,,,,,,,,
16,220,L,,,,,,,,,,
16,340,L,,,,,,,,,,
16,110,L,,,,,,,,,,
16,360,L,,,,,,,,,,
22.6,580,L,,,,,,,,,,
22.6,340,L,,,,,,,,,,
22.6,340,L,,,,,,,,,,
22.6,150,L,,,,,,,,,,
22.6,540,L,,,,,,,,,,
22.6,850,L,,,,,,,,,,
22.6,260,L,,,,,,,,,,
22.6,150,L,,,,,,,,,,
32,160,L,,,,,,,,,,
32,340,L,,,,,,,,,,
32,270,L,,,,,,,,,,
45,220,L,,,,,,,,,,
45,260,L,,,,,,,,,,
45,220,L,,,,,,,,,,
45,270,L,,,,,,,,,,
45,500,L,,,,,,,,,,
45,430,L,,,,,,,,,,
64,550,L,,,,,,,,,,
64,480,L,,,,,,,,,,
64,260,L,,,,,,,,,,
64,230,L,,,,,,,,,,
64,220,L,,,,,,,,,,
64,520,L,,,,,,,,,,
90,170,L,,,,,,,,,,
90,810,L,,,,,,,,,,
90,290,L,,,,,,,,,,
90,440,L,,,,,,,,,,
90,210,L,,,,,,,,,,
90,490,L,,,,,,,,,,
90,260,L,,,,,,,,,,
90,310,L,,,,,,,,,,
90,480,L,,,,,,,,,,
90,350,L,,,,,,,,,,
90,400,L,,,,,,,,,,
90,350,L,,,,,,,,,,
90,410,L,,,,,,,,,,
90,410,L,,,,,,,,,,
128,290,L,,,,,,,,,,
128,460,L,,,,,,,,,,
128,440,L,,,,,,,,,,
128,390,L,,,,,,,,,,
128,280,L,,,,,,,,,,
128,250,L,,,,,,,,,,
128,290,L,,,,,,,,,,
128,230,L,,,,,,,,,,
128,180,L,,,,,,,,,,
128,150,L,,,,,,,,,,
128,290,L,,,,,,,,,,
128,380,L,,,,,,,,,,
128,270,L,,,,,,,,,,
128,220,L,,,,,,,,,,
128,280,L,,,,,,,,,,
180,290,L,,,,,,,,,,
180,200,L,,,,,,,,,,
180,380,L,,,,,,,,,,
180,540,L,,,,,,,,,,
180,240,L,,,,,,,,,,
180,310,L,,,,,,,,,,
180,310,L,,,,,,,,,,
180,210,L,,,,,,,,,,
180,270,L,,,,,,,,,,
180,860,L,,,,,,,,,,
180,180,L,,,,,,,,,,
180,140,L,,,,,,,,,,
180,630,L,,,,,,,,,,
180,210,L,,,,,,,,,,
180,200,L,,,,,,,,,,
180,130,L,,,,,,,,,,
180,110,L,,,,,,,,,,
180,190,L,,,,,,,,,,
180,300,L,,,,,,,,,,
180,210,L,,,,,,,,,,
180,820,L,,,,,,,,,,
180,190,L,,,,,,,,,,
180,140,L,,,,,,,,,,
180,370,L,,,,,,,,,,
180,220,L,,,,,,,,,,
180,230,L,,,,,,,,,,
256,150,L,,,,,,,,,,
256,110,L,,,,,,,,,,
256,220,L,,,,,,,,,,
256,360,L,,,,,,,,,,
256,280,L,,,,,,,,,,
256,310,L,,,,,,,,,,
256,430,L,,,,,,,,,,
256,230,L,,,,,,,,,,
256,510,L,,,,,,,,,,
256,120,L,,,,,,,,,,
256,160,L,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
256,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
362,,,,,,,,,,,,
